"","tag","treatment","grid","site","status","seed"
"674",528,"B",26,"RES","normal","5"
"675",529,"A",26,"RES","normal","9"
"676",530,"B",26,"RES","zero","0"
"677",531,"A",26,"RES","zero","0"
"678",532,"B",26,"RES","zero","0"
"679",533,"A",26,"RES","zero","0"
"680",534,"B",26,"RES","normal","2"
"681",535,"A",26,"RES","normal","2"
"682",536,"B",26,"RES","normal","3"
"683",537,"A",26,"RES","zero","0"
"684",538,"B",26,"RES","zero","0"
"685",539,"A",26,"RES","zero","0"
"686",540,"B",26,"RES","zero","0"
"687",541,"A",26,"RES","normal","1"
"688",542,"B",26,"RES","normal","6"
"689",543,"A",26,"RES","normal","1"
"690",544,"B",26,"RES","normal","1"
"691",545,"A",26,"RES","normal","3"
"692",546,"B",26,"RES","zero","0"
"693",547,"A",26,"RES","zero","0"
"694",548,"B",26,"RES","zero","0"
"695",549,"A",26,"RES","zero","0"
"696",550,"B",26,"RES","normal","0"
"697",901,"A",27,"RES","normal","0"
"698",902,"B",27,"RES","normal","7"
"699",903,"A",27,"RES","zero","0"
"700",905,"A",27,"RES","normal","1"
"701",906,"B",27,"RES","normal","1"
"702",907,"A",27,"RES","zero","0"
"703",908,"B",27,"RES","no fruit","0"
"704",909,"A",27,"RES","no fruit","0"
"705",910,"B",27,"RES","no fruit","0"
"706",911,"A",27,"RES","no fruit","0"
"707",912,"B",27,"RES","normal","0"
"708",913,"A",27,"RES","zero","0"
"709",914,"B",27,"RES","no fruit","0"
"710",915,"A",27,"RES","no fruit","0"
"711",916,"B",27,"RES","normal","1"
"712",917,"A",27,"RES","zero","0"
"713",918,"B",27,"RES","normal","3"
"714",919,"A",27,"RES","normal","0"
"715",920,"B",27,"RES","normal","1"
"716",921,"A",27,"RES","zero","0"
"717",922,"B",27,"RES","normal","3"
"718",923,"A",27,"RES","zero","0"
"719",924,"B",27,"RES","normal","1"
"720",925,"A",27,"RES","zero","0"
"721",926,"B",27,"RES","zero","0"
"722",927,"A",27,"RES","normal","2"
"723",928,"B",27,"RES","normal","2"
"724",929,"A",27,"RES","normal","0"
"725",930,"B",27,"RES","zero","0"
"726",931,"A",27,"RES","no pipe","0"
"727",932,"B",27,"RES","zero","0"
"728",933,"A",27,"RES","no fruit","0"
"729",935,"A",27,"RES","no fruit","0"
"730",936,"B",27,"RES","normal","0"
"731",937,"A",27,"RES","no pipe","0"
"732",938,"B",27,"RES","zero","0"
"733",939,"A",27,"RES","zero","0"
"734",940,"B",27,"RES","normal","0"
"735",941,"A",27,"RES","no pipe","0"
"736",942,"B",27,"RES","zero","0"
"737",943,"A",27,"RES","normal","11"
"738",944,"B",27,"RES","normal","4"
"739",945,"A",27,"RES","zero","0"
"740",946,"B",27,"RES","normal","2"
"741",947,"A",27,"RES","zero","0"
"742",948,"B",27,"RES","zero","0"
"743",949,"A",27,"RES","normal","1"
"744",950,"B",27,"RES","normal","1"
"745",951,"A",28,"RES","zero","0"
"746",952,"B",28,"RES","normal","3"
"747",953,"A",28,"RES","zero","0"
"748",954,"B",28,"RES","zero","0"
"749",955,"A",28,"RES","zero","0"
"750",956,"B",28,"RES","normal","4"
"751",957,"A",28,"RES","zero","0"
"752",958,"B",28,"RES","normal","2"
"753",959,"A",28,"RES","normal","4"
"754",960,"B",28,"RES","normal","0"
"755",961,"A",28,"RES","normal","3"
"756",962,"B",28,"RES","normal","2"
"757",963,"A",28,"RES","normal","9"
"758",964,"B",28,"RES","zero","0"
"759",965,"A",28,"RES","zero","0"
"760",966,"B",28,"RES","zero","0"
"761",967,"A",28,"RES","no pipe","0"
"762",968,"B",28,"RES","normal","1"
"763",969,"A",28,"RES","normal","3"
"764",970,"B",28,"RES","normal","2"
"765",971,"A",28,"RES","zero","0"
"766",972,"B",28,"RES","zero","0"
"767",973,"A",28,"RES","no fruit","0"
"768",974,"B",28,"RES","zero","0"
"769",975,"A",28,"RES","normal","0"
"770",976,"B",28,"RES","zero","0"
"771",977,"A",28,"RES","zero","0"
"772",978,"B",28,"RES","no pipe","1"
"773",979,"A",28,"RES","normal","4"
"774",980,"B",28,"RES","zero","0"
"775",981,"A",28,"RES","no pipe","0"
"776",982,"B",28,"RES","zero","0"
"777",983,"A",28,"RES","no pipe","0"
"778",984,"B",28,"RES","normal","6"
"779",985,"A",28,"RES","no pipe","0"
"780",986,"B",28,"RES","no fruit","0"
"781",987,"A",28,"RES","normal","0"
"782",988,"B",28,"RES","normal","1"
"783",989,"A",28,"RES","zero","0"
"784",990,"B",28,"RES","zero","0"
"785",991,"A",28,"RES","zero","0"
"786",992,"B",28,"RES","normal","2"
"787",993,"A",28,"RES","normal","8"
"788",994,"B",28,"RES","normal","1"
"789",995,"A",28,"RES","zero","0"
"790",996,"B",28,"RES","zero","0"
"791",997,"A",28,"RES","no fruit","0"
"792",998,"B",28,"RES","zero","0"
"793",999,"A",28,"RES","normal","1"
"794",1000,"B",28,"RES","normal","4"
